DATEPRD   ,X7405f ,X7078  ,X5599  ,X5351 ,X7289
2014-01-23,0      ,1352.45,0      ,623.72,430.23
2014-01-24,0      ,1296.83,23.51  ,594.99,409.09
2014-01-25,0      ,653.96 ,111.81 ,651.77,443.84
2014-01-26,0      ,1138.27,146.41 ,527.7 ,360.8
2014-01-27,0      ,1128.83,152.65 ,526.02,362.03
2014-01-28,0      ,1185.93,71.22  ,555.86,377.77
2014-01-29,0      ,473.89 ,3.99   ,241.01,0
2014-01-30,0      ,0      ,0      ,0     ,0
2014-01-31,0      ,1162.85,253.72 ,415.55,0
2014-02-01,0      ,1182.42,242.4  ,563.55,356.46
2014-02-02,0      ,1324.83,249.21 ,578.73,338.4
2014-02-03,0      ,1353.04,250.29 ,581.16,336
2014-02-04,0      ,1362.32,249.14 ,578.4 ,325.52
2014-02-05,0      ,1355.11,249.99 ,580.14,312.16
2014-02-06,0      ,336.75 ,129.54 ,195.27,117.66
2014-02-07,0      ,0      ,0      ,0     ,0
2014-02-08,0      ,140.99 ,37.32  ,506.83,381.23
2014-02-09,0      ,1165.83,246.21 ,562.95,373.59
2014-02-10,0      ,117.82 ,25.89  ,299.48,334.24
2014-02-11,0      ,0      ,0      ,308.34,262.69
2014-02-12,0      ,953.58 ,227.19 ,433.55,334.29
2014-02-13,0      ,1196.82,261.34 ,597.34,369.51
2014-02-14,0      ,1237.04,265.94 ,607.85,348.32
2014-02-15,0      ,1219.55,219.14 ,600.91,337.97
2014-02-16,0      ,1237.45,266.27 ,609.6 ,308.48
2014-02-17,0      ,1234.86,269.76 ,616.6 ,262.46
2014-02-18,0      ,649.74 ,188.33 ,332.49,134.26
2014-02-19,0      ,1081.91,266.53 ,597.13,301.33
2014-02-20,0      ,1230.32,273.39 ,624.9 ,281.26
2014-02-21,0      ,1248.17,276.26 ,631.46,255.93
2014-02-22,0      ,1241.05,280.32 ,640.73,252.46
2014-02-23,0      ,1243.91,275.25 ,629.14,250.86
2014-02-24,0      ,1210.72,276.34 ,631.65,278.48
2014-02-25,0      ,1223.99,269.44 ,615.86,268.59
2014-02-26,0      ,1223.72,269.07 ,615.02,265.37
2014-02-27,0      ,1209.75,266.84 ,609.92,259.99
2014-02-28,0      ,1208.28,270    ,617.13,251.09
2014-03-01,0      ,1188.83,262.88 ,600.87,242.16
2014-03-02,0      ,1200.67,262.86 ,600.82,239.92
2014-03-03,0      ,1199.47,270.42 ,616.36,236.48
2014-03-04,0      ,1194.84,264.68 ,604.97,226.36
2014-03-05,0      ,1178.12,266.65 ,609.49,232.62
2014-03-06,0      ,1189.71,268.37 ,613.41,230.65
2014-03-07,0      ,1216.72,260.52 ,595.48,231.96
2014-03-08,0      ,1332.15,258.63 ,591.15,229.4
2014-03-09,0      ,1306.23,260.25 ,594.86,227.01
2014-03-10,0      ,1326.01,258.2  ,534.84,261.49
2014-03-11,0      ,1329.45,255.86 ,529.99,264.28
